business_id,date,ViolationTypeID,risk_category,description,business_name,business_address,business_city,business_state,inspection_id,inspection_date,inspection_type
835,20150120,103139,Low Risk,Improper food storage,Kam Po Kitchen,801 Broadway St,San Francisco,CA,835_20180917,2018-09-17,Routine - Unscheduled
905,20160921,103162,Low Risk,Other low risk violation,Working Girls' Cafe',0259 Kearny St,San Francisco,CA,905_20190415,2019-04-15,Routine - Unscheduled
1203,20141209,103154,Low Risk,Unclean or degraded floors walls or ceilings,TAWAN'S THAI FOOD,4403 GEARY Blvd,San Francisco,CA,1203_20170803,2017-08-03,Routine - Unscheduled
1345,20160722,103132,Moderate Risk,Improper thawing methods,Cordon Bleu,1574 California St,San Francisco,CA,1345_20170928,2017-09-28,Routine - Unscheduled
1352,20151007,103144,Low Risk,Unapproved or unmaintained equipment or utensils,LA TORTILLA,495 Castro St B,San Francisco,CA,1352_20180620,2018-06-20,Routine - Unscheduled
1652,20150630,103120,Moderate Risk,Moderate risk food holding temperature,STARBUCKS,201 03rd St,San Francisco,CA,1652_20190611,2019-06-11,Routine - Unscheduled
1922,20140815,103143,Low Risk,Inadequate warewashing facilities or equipment,All stars Donuts,901 Clement St,San Francisco,CA,1922_20161128,2016-11-28,Complaint
3019,20150311,103138,Low Risk,Improper storage use or identification of toxic substances,Tad's,120 Powell St,San Francisco,CA,3019_20190702,2019-07-02,Routine - Unscheduled
3286,20141124,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Super Burrito,1200 Polk St,San Francisco,CA,3286_20190214,2019-02-14,Routine - Unscheduled
4654,20140821,103144,Low Risk,Unapproved or unmaintained equipment or utensils,House of Bagels,5030 Geary Blvd,San Francisco,CA,4654_20170425,2017-04-25,Complaint
4900,20150824,103131,Moderate Risk,Moderate risk vermin infestation,HOME SERVICE MARKET,1700 HAYES St,San Francisco,CA,4900_20171116,2017-11-16,Routine - Unscheduled
7211,20140610,103143,Low Risk,Inadequate warewashing facilities or equipment,RELIANCE MARKET,699 Castro St,San Francisco,CA,7211_20181001,2018-10-01,Routine - Unscheduled
7489,20141125,103154,Low Risk,Unclean or degraded floors walls or ceilings,GAS & SHOP,599 South Van Ness Ave,San Francisco,CA,7489_20180710,2018-07-10,Routine - Unscheduled
34411,20160822,103143,Low Risk,Inadequate warewashing facilities or equipment,Gabby's Market & Deli,201 Harrison St C,San Francisco,CA,34411_20190913,2019-09-13,Routine - Unscheduled
36758,20140307,103114,High Risk,High risk vermin infestation,UVA Enoteca,568 Haight St,San Francisco,CA,36758_20161214,2016-12-14,Routine - Unscheduled
37060,20160727,103132,Moderate Risk,Improper thawing methods,Halu,312 08th Ave,San Francisco,CA,37060_20190507,2019-05-07,Routine - Unscheduled
38146,20150818,103130,Moderate Risk,Inadequate sewage or wastewater disposal,San Pancho's Tacos,491 Bayshore St,San Francisco,CA,38146_20190219,2019-02-19,Routine - Unscheduled
38798,20140930,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,K's Kitchen,757 Monterey Blvd,San Francisco,CA,38798_20170928,2017-09-28,Routine - Unscheduled
61357,20140908,103157,Low Risk,Food safety certificate or food handler card not available,Smuggler's Cove,650 Gough St,San Francisco,CA,61357_20171205,2017-12-05,Routine - Unscheduled
64738,20150306,103102,High Risk,Unclean hands or improper use of gloves,Japacurry,Public,San Francisco,CA,64738_20170124,2017-01-24,Structural Inspection
66220,20160825,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Izakaya Kou,1560 Fillmore St,San Francisco,CA,66220_20190418,2019-04-18,Routine - Unscheduled
67262,20160412,103148,Low Risk,No thermometers or uncalibrated thermometers,Wonglee LLC,732 Jackson St,San Francisco,CA,67262_20170706,2017-07-06,Routine - Unscheduled
67510,20160824,103147,Low Risk,Inadequate ventilation or lighting,Subway Sandwiches,215 Fremont St,San Francisco,CA,67510_20190829,2019-08-29,Routine - Unscheduled
67920,20141119,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Noori,1924 IRVING St,San Francisco,CA,67920_20170123,2017-01-23,Routine - Unscheduled
69253,20150506,103145,Low Risk,Improper storage of equipment utensils or linens,Chili Cha Cha 2,3166 24th St,San Francisco,CA,69253_20190325,2019-03-25,Routine - Unscheduled
69397,20150320,103103,High Risk,High risk food holding temperature,Minna SF Group LLC,142 Minna St,San Francisco,CA,69397_20170203,2017-02-03,Routine - Unscheduled
69665,20151023,103154,Low Risk,Unclean or degraded floors walls or ceilings,Shalimar Restaurant,532 Jones St,San Francisco,CA,69665_20171010,2017-10-10,Routine - Unscheduled
69705,20140520,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,Daniel's Cafe,154 Ellis St,San Francisco,CA,69705_20190212,2019-02-12,Routine - Unscheduled
69717,20150922,103102,High Risk,Unclean hands or improper use of gloves,Craw Station,1336 09th Ave,San Francisco,CA,69717_20181004,2018-10-04,Routine - Unscheduled
69762,20160413,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Chili House Inc.,726 Clement St,San Francisco,CA,69762_20161026,2016-10-26,Routine - Unscheduled
69895,20140418,103139,Low Risk,Improper food storage,Chipotle Mexican Grill #1857,211 Sutter St,San Francisco,CA,69895_20170228,2017-02-28,Complaint
70137,20140910,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Reveille Coffee Co.,200 Columbus St,San Francisco,CA,70137_20171201,2017-12-01,Reinspection/Followup
